Symbol,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,DTE,Exp Date,Time,Avg IV
SPY|20210115|267.00C,267,48.94,-14.49%,54.9,55.3,55.69,48.94,unch,29.45%,0,771,Call,197,01/15/21,N/A,0.00%
SPY|20210115|268.00C,268,56.14,-14.17%,54.09,54.49,54.88,7.45,15.30%,29.34%,5,205,Call,197,01/15/21,06/23/20,0.00%
SPY|20210115|269.00C,269,60.6,-13.85%,53.29,53.69,54.08,60.6,unch,29.23%,0,570,Call,197,01/15/21,N/A,0.00%
SPY|20210115|270.00C,270,52.23,-13.53%,52.5,52.89,53.29,1.14,2.23%,28.10%,174,5458,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|271.00C,271,52.59,-13.21%,51.71,52.1,52.49,2.98,6.01%,29.75%,6,747,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|272.00C,272,48.68,-12.88%,50.91,51.31,51.7,48.68,unch,28.89%,0,2914,Call,197,01/15/21,N/A,0.00%
SPY|20210115|273.00C,273,52.23,-12.56%,50.13,50.52,50.91,6.36,13.87%,28.78%,1,1481,Call,197,01/15/21,06/23/20,0.00%
SPY|20210115|274.00C,274,51.47,-12.24%,49.34,49.73,50.12,51.47,unch,28.66%,3,718,Call,197,01/15/21,06/16/20,0.00%
SPY|20210115|275.00C,275,50.71,-11.92%,48.55,48.95,49.34,3.28,6.92%,31.05%,4,4943,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|276.00C,276,47.07,-11.60%,47.77,48.16,48.55,4.64,10.94%,28.41%,2,683,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|277.00C,277,46.45,-11.28%,47,47.39,47.77,3.38,7.85%,28.29%,1,696,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|278.00C,278,46.68,-10.96%,46.22,46.61,47,0.07,0.15%,28.17%,30,313,Call,197,01/15/21,06/22/20,0.00%
SPY|20210115|279.00C,279,44.24,-10.64%,45.45,45.84,46.23,44.24,unch,28.05%,0,646,Call,197,01/15/21,N/A,0.00%
SPY|20210115|280.00C,280,45.78,-10.32%,44.69,45.08,45.46,1.78,4.05%,28.89%,25,5540,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|281.00C,281,40.8,-10.00%,43.92,44.31,44.7,2.6,6.81%,27.80%,1,14518,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|282.00C,282,39.17,-9.68%,43.17,43.55,43.93,-5.7,-12.70%,27.67%,22,1293,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|283.00C,283,38.49,-9.36%,42.41,42.8,43.18,-0.66,-1.69%,27.55%,19,699,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|284.00C,284,40.8,-9.04%,41.65,42.04,42.42,2.9,7.65%,27.41%,4,1613,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|285.00C,285,41.7,-8.72%,40.9,41.29,41.67,1.21,2.99%,27.82%,3,5933,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|286.00C,286,40.7,-8.40%,40.16,40.54,40.92,3,7.96%,27.36%,1,1697,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|287.00C,287,40.02,-8.08%,39.41,39.79,40.17,4.62,13.05%,27.30%,7,5652,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|288.00C,288,35.72,-7.76%,38.67,39.05,39.43,35.72,unch,26.88%,8,1358,Call,197,01/15/21,06/15/20,0.00%
SPY|20210115|289.00C,289,35.55,-7.44%,37.94,38.32,38.69,-3.82,-9.70%,26.74%,6,854,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|290.00C,290,37.89,-7.12%,37.2,37.58,37.95,1.88,5.22%,26.99%,24,5208,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|291.00C,291,30.64,-6.80%,36.48,36.85,37.22,-4.79,-13.52%,26.46%,26,1245,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|292.00C,292,29.34,-6.48%,35.75,36.12,36.49,-8.66,-22.79%,26.32%,44,1195,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|293.00C,293,31.7,-6.16%,35.03,35.4,35.77,2.81,9.73%,26.18%,2,504,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|294.00C,294,28.06,-5.84%,34.31,34.68,35.05,-4.41,-13.58%,26.03%,35,3206,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|295.00C,295,34.6,-5.52%,33.6,33.97,34.34,4.05,13.26%,26.65%,4,5174,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|296.00C,296,33.39,-5.20%,32.89,33.25,33.62,6.59,24.59%,25.90%,1,1238,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|297.00C,297,28.24,-4.88%,32.19,32.56,32.92,1.66,6.25%,25.60%,44,858,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|298.00C,298,30.08,-4.56%,31.49,31.85,32.21,2.65,9.66%,25.45%,1,974,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|299.00C,299,26.85,-4.24%,30.8,31.16,31.52,1.9,7.62%,25.31%,23,1462,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|300.00C,300,30.25,-3.92%,30.11,30.47,30.82,1.35,4.67%,24.91%,151,21219,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|301.00C,301,29,-3.60%,29.42,29.78,30.13,0.8,2.84%,25.01%,4,1346,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|302.00C,302,27.79,-3.28%,28.74,29.08,29.41,2.21,8.64%,24.84%,13,1318,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|303.00C,303,27.51,-2.96%,28.07,28.34,28.6,3.12,12.79%,24.61%,21,1484,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|304.00C,304,27.64,-2.64%,27.4,27.74,28.09,0.84,3.13%,24.44%,1,1583,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|305.00C,305,26.92,-2.32%,26.73,27.08,27.42,0.54,2.05%,24.23%,37,17840,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|306.00C,306,26.43,-2.00%,26.07,26.42,26.76,1.32,5.26%,24.27%,25,1537,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|307.00C,307,26,-1.68%,25.42,25.76,26.1,1.7,7.00%,24.37%,1,1089,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|308.00C,308,25.43,-1.35%,24.77,25.11,25.45,2.35,10.18%,24.30%,92,5794,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|309.00C,309,24.7,-1.03%,24.12,24.46,24.8,1.9,8.33%,24.05%,22,1677,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|310.00C,310,23.25,-0.71%,23.48,23.81,24.15,0.17,0.74%,22.99%,316,7160,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|311.00C,311,23.85,-0.39%,22.85,23.19,23.52,1.42,6.33%,24.20%,8,1857,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|312.00C,312,22.25,-0.07%,22.22,22.56,22.89,0.88,4.12%,22.97%,5,1277,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|313.00C,313,22.07,0.25%,21.59,21.93,22.27,1.02,4.85%,23.30%,6,2370,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|314.00C,314,21.78,0.57%,20.97,21.31,21.64,1.12,5.42%,23.50%,23,2073,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|315.00C,315,20.2,0.89%,20.36,20.7,21.03,0.26,1.30%,22.28%,315,4091,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|316.00C,316,20.41,1.21%,19.75,20.09,20.42,1.06,5.48%,23.01%,43,1772,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|317.00C,317,20.27,1.53%,19.15,19.49,19.82,1.67,8.98%,23.34%,1,781,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|318.00C,318,18.33,1.85%,18.55,18.89,19.23,2.9,18.79%,22.32%,103,944,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|319.00C,319,14.74,2.17%,17.96,18.3,18.64,-0.56,-3.66%,22.15%,1,2157,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|320.00C,320,17.38,2.49%,17.38,17.69,18,0.18,1.05%,21.61%,345,6161,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|321.00C,321,18.16,2.81%,16.81,17.15,17.48,1.68,10.19%,22.92%,147,976,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|322.00C,322,17.46,3.13%,16.25,16.59,16.92,1.52,9.54%,22.61%,22,2065,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|323.00C,323,16.84,3.45%,15.7,16.03,16.36,3.32,24.56%,22.37%,40,1914,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|324.00C,324,16.03,3.77%,15.15,15.48,15.81,1.08,7.22%,21.92%,63,1106,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|325.00C,325,14.91,4.09%,14.64,14.96,15.27,0.71,5.00%,21.12%,187,5697,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|326.00C,326,14.6,4.41%,14.09,14.42,14.74,2.11,16.89%,21.19%,133,2409,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|327.00C,327,13.31,4.73%,13.57,13.89,14.21,2.25,20.34%,20.82%,1,2028,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|328.00C,328,13.85,5.05%,13.06,13.38,13.7,3.24,30.54%,21.18%,20,1102,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|329.00C,329,12.61,5.37%,12.56,12.88,13.19,0.51,4.21%,20.20%,65,1046,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|330.00C,330,12.32,5.69%,12.07,12.38,12.69,0.48,4.05%,20.26%,246,11312,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|331.00C,331,12.05,6.01%,11.59,11.9,12.2,3.21,36.31%,20.34%,44,1257,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|332.00C,332,11.06,6.33%,11.11,11.42,11.73,1.01,10.05%,19.59%,5,1561,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|333.00C,333,10.58,6.65%,10.65,10.96,11.26,0.38,3.73%,19.41%,10,1305,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|334.00C,334,9.92,6.97%,10.2,10.5,10.8,1.14,12.98%,19.68%,3,661,Call,197,01/15/21,2007/1/20,0.00%
SPY|20210115|335.00C,335,10.54,7.29%,9.76,10.06,10.35,1.23,13.21%,20.08%,12,3322,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|336.00C,336,10.17,7.61%,9.33,9.63,9.92,2.41,31.06%,20.01%,68,873,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|337.00C,337,9.35,7.93%,8.91,9.2,9.49,1.8,23.84%,19.38%,26,797,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|338.00C,338,8.85,8.25%,8.5,8.69,8.88,0.57,6.88%,19.13%,2,2151,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|339.00C,339,6,8.57%,8.1,8.39,8.68,-1.26,-17.36%,18.90%,10,362,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|340.00C,340,7.8,8.89%,7.72,8,8.28,0.1,1.30%,18.50%,103,13738,Call,197,01/15/21,2007/2/20,0.00%
SPY|20210115|308.00P,308,21.46,-1.35%,21.73,22.06,22.38,-1.64,-7.10%,27.24%,2,5752,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|309.00P,309,21.73,-1.03%,22.09,22.42,22.74,-1.52,-6.54%,26.98%,1,1701,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|310.00P,310,22.79,-0.71%,22.6,22.85,23.1,-1.28,-5.32%,27.60%,366,7995,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|311.00P,311,22.73,-0.39%,22.82,23.15,23.48,-1.52,-6.27%,26.97%,2,3440,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|312.00P,312,23.01,-0.07%,23.16,23.51,23.86,-1.52,-6.20%,26.71%,8,1568,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|313.00P,313,23.6,0.25%,23.58,23.92,24.25,-4.11,-14.83%,26.79%,9,1234,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|314.00P,314,23.83,0.57%,23.95,24.3,24.64,-1.69,-6.62%,26.46%,34,815,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|315.00P,315,24.4,0.89%,24.4,24.72,25.04,-1.32,-5.13%,26.50%,318,12435,Put,197,01/15/21,2007/2/20,0.00%
SPY|20210115|316.00P,316,24,1.21%,24.71,25.08,25.44,-8.85,-26.94%,25.47%,5,3907,Put,197,01/15/21,2007/2/20,0.00%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
